,position,img,count,mean,frame,mask,nuclei_count,Hours,total_int/cell#,count/cell_count,dose,beads,replicate
0,XY001,expt1003_TRITC_XY001_T01.tif,0,,1,expt1003_Cy5_XY001_T01_cp_masks.tif,180,0.0,,0.0,0,True,2
1,XY001,expt1003_TRITC_XY001_T02.tif,48657,2624.285714285714,2,expt1003_Cy5_XY001_T02_cp_masks.tif,173,0.5,738091.7341040462,281.2543352601156,0,True,2
2,XY001,expt1003_TRITC_XY001_T03.tif,162300,3271.5709858287123,3,expt1003_Cy5_XY001_T03_cp_masks.tif,179,1.0,2966346.2067039106,906.7039106145252,0,True,2
3,XY001,expt1003_TRITC_XY001_T04.tif,238617,3717.71347389331,4,expt1003_Cy5_XY001_T04_cp_masks.tif,179,1.5,4955919.754189944,1333.0558659217877,0,True,2
4,XY001,expt1003_TRITC_XY001_T05.tif,285606,4128.29998319363,5,expt1003_Cy5_XY001_T05_cp_masks.tif,180,2.0,6550373.583333333,1586.7,0,True,2
5,XY001,expt1003_TRITC_XY001_T06.tif,324577,4437.8992842992575,6,expt1003_Cy5_XY001_T06_cp_masks.tif,182,2.5,7914505.692307692,1783.39010989011,0,True,2
6,XY001,expt1003_TRITC_XY001_T07.tif,354872,4684.511688721567,7,expt1003_Cy5_XY001_T07_cp_masks.tif,186,3.0,8937645.333333334,1907.913978494624,0,True,2
7,XY001,expt1003_TRITC_XY001_T08.tif,386318,4912.293809762941,8,expt1003_Cy5_XY001_T08_cp_masks.tif,175,3.5,10844042.971428571,2207.5314285714285,0,True,2
8,XY001,expt1003_TRITC_XY001_T09.tif,430434,5019.108985349671,9,expt1003_Cy5_XY001_T09_cp_masks.tif,167,4.0,12936497.946107784,2577.4491017964074,0,True,2
9,XY001,expt1003_TRITC_XY001_T10.tif,468400,5324.588477796755,10,expt1003_Cy5_XY001_T10_cp_masks.tif,150,4.5,16626914.953333331,3122.6666666666665,0,True,2
10,XY001,expt1003_TRITC_XY001_T11.tif,494916,5754.052998892741,11,expt1003_Cy5_XY001_T11_cp_masks.tif,152,5.0,18735347.986842107,3256.0263157894738,0,True,2
11,XY001,expt1003_TRITC_XY001_T12.tif,531064,6098.832969284304,12,expt1003_Cy5_XY001_T12_cp_masks.tif,152,5.5,21308359.42105263,3493.842105263158,0,True,2
12,XY001,expt1003_TRITC_XY001_T13.tif,569873,6429.817241736317,13,expt1003_Cy5_XY001_T13_cp_masks.tif,154,6.0,23793371.694805197,3700.474025974026,0,True,2
13,XY002,expt1003_TRITC_XY002_T01.tif,0,,1,expt1003_Cy5_XY002_T01_cp_masks.tif,187,0.0,,0.0,0,True,2
14,XY002,expt1003_TRITC_XY002_T02.tif,39402,2714.767879803056,2,expt1003_Cy5_XY002_T02_cp_masks.tif,192,0.5,557121.2708333334,205.21875,0,True,2
15,XY002,expt1003_TRITC_XY002_T03.tif,140997,3303.56106867522,3,expt1003_Cy5_XY002_T03_cp_masks.tif,190,1.0,2451537.8947368423,742.0894736842105,0,True,2
16,XY002,expt1003_TRITC_XY002_T04.tif,214478,3855.764404740813,4,expt1003_Cy5_XY002_T04_cp_masks.tif,188,1.5,4398811.904255319,1140.840425531915,0,True,2
17,XY002,expt1003_TRITC_XY002_T05.tif,265022,4224.163937333505,5,expt1003_Cy5_XY002_T05_cp_masks.tif,191,2.0,5861237.565445026,1387.5497382198953,0,True,2
18,XY002,expt1003_TRITC_XY002_T06.tif,300694,4561.247011912443,6,expt1003_Cy5_XY002_T06_cp_masks.tif,201,2.5,6823580.144278607,1495.9900497512438,0,True,2
19,XY002,expt1003_TRITC_XY002_T07.tif,337956,4644.138760667069,7,expt1003_Cy5_XY002_T07_cp_masks.tif,193,3.0,8132199.787564766,1751.067357512953,0,True,2
